sentence,speaker_combo,r_frame,r_min,r_max,d_frame,d_min,d_max
CV4,B1_4_B1_5,0.01,75,350,0.01,125,450
CV4,B1_4_L1_4,0.01,75,350,0.01,75,200
CV4,C1_4_C1_5,0.01,100,350,0.01,75,400
CV4,C1_4_L1_4,0.01,100,350,0.01,75,200
CV4,B1_5_B1_4,0.01,125,450,0.01,75,350
CV4,B1_5_L1_4,0.01,125,450,0.01,75,200
CV4,C1_5_C1_4,0.01,75,400,0.01,100,350
CV4,C1_5_L1_4,0.01,75,400,0.01,75,200
CV4,L1_4_C1_5,0.01,75,200,0.01,75,400
CVC1,B1_4_B1_5,0.01,125,400,0.01,100,350
CVC1,B1_4_L1_4,0.01,125,400,0.01,75,230
CVC1,C1_4_C1_5,0.01,100,400,0.01,50,400
CVC1,C1_4_L1_4,0.01,100,400,0.01,75,230
CVC1,B1_5_B1_4,0.01,100,350,0.01,125,400
CVC1,B1_5_L1_4,0.01,100,350,0.01,75,230
CVC1,C1_5_C1_4,0.01,50,400,0.01,100,400
CVC1,C1_5_L1_4,0.01,50,400,0.01,75,230
CVC1,L1_4_C1_5,0.01,75,230,0.01,50,400
CVC2,B1_4_B1_5,0.01,115,600,0.01,100,400
CVC2,B1_4_L1_4,0.01,115,600,0.01,75,400
CVC2,C1_4_C1_5,0.01,100,300,0.01,75,500
CVC2,C1_4_L1_4,0.01,100,300,0.01,75,400
CVC2,B1_5_B1_4,0.01,100,400,0.01,115,600
CVC2,B1_5_L1_4,0.01,100,400,0.01,75,400
CVC2,C1_5_C1_4,0.01,75,500,0.01,100,300
CVC2,C1_5_L1_4,0.01,75,500,0.01,75,400
CVC2,L1_4_C1_5,0.01,75,400,0.01,75,500
CVC5,B1_4_B1_5,0.01,140,400,0.01,130,330
CVC5,B1_4_L1_4,0.01,140,400,0.01,75,275
CVC5,C1_4_C1_5,0.01,100,500,0.01,100,500
CVC5,C1_4_L1_4,0.01,100,500,0.01,75,275
CVC5,B1_5_B1_4,0.01,130,330,0.01,140,400
CVC5,B1_5_L1_4,0.01,130,330,0.01,75,275
CVC5,C1_5_C1_4,0.01,100,500,0.01,100,500
CVC5,C1_5_L1_4,0.01,100,500,0.01,75,275
CVC5,L1_4_C1_5,0.01,75,275,0.01,100,500
M5,B1_4_B1_5,0.01,155,295,0.01,75,305
M5,B1_4_L1_4,0.01,155,295,0.01,75,500
M5,C1_4_C1_5,0.01,75,500,0.01,75,275
M5,C1_4_L1_4,0.01,75,500,0.01,75,500
M5,B1_5_B1_4,0.01,75,305,0.01,155,295
M5,B1_5_L1_4,0.01,75,305,0.01,75,500
M5,C1_5_C1_4,0.01,75,275,0.01,75,500
M5,C1_5_L1_4,0.01,75,275,0.01,75,500
M5,L1_4_C1_5,0.01,75,500,0.01,75,275
M7,B1_4_B1_5,0.01,75,350,0.01,130,300
M7,B1_4_L1_4,0.01,75,350,0.01,75,500
M7,C1_4_C1_5,0.01,75,500,0.01,75,500
M7,C1_4_L1_4,0.01,75,500,0.01,75,500
M7,B1_5_B1_4,0.01,130,300,0.01,75,350
M7,B1_5_L1_4,0.01,130,300,0.01,75,500
M7,C1_5_C1_4,0.01,75,500,0.01,75,500
M7,C1_5_L1_4,0.01,75,500,0.01,75,500
M7,L1_4_C1_5,0.01,75,500,0.01,75,500
M8,B1_4_B1_5,0.03,111,350,0.01,75,350
M8,B1_4_L1_4,0.03,111,350,0.01,75,250
M8,C1_4_C1_5,0.01,75,375,0.01,75,330
M8,C1_4_L1_4,0.01,75,375,0.01,75,250
M8,B1_5_B1_4,0.01,75,350,0.03,111,350
M8,B1_5_L1_4,0.01,75,350,0.01,75,250
M8,C1_5_C1_4,0.01,75,330,0.01,75,375
M8,C1_5_L1_4,0.01,75,330,0.01,75,250
M8,L1_4_C1_5,0.01,75,250,0.01,75,330
M10,B1_4_B1_5,0.01,150,500,0.01,155,250
M10,B1_4_L1_4,0.01,150,500,0.01,80,500
M10,C1_4_C1_5,0.01,110,500,0.01,75,300
M10,C1_4_L1_4,0.01,110,500,0.01,80,500
M10,B1_5_B1_4,0.01,155,250,0.01,150,500
M10,B1_5_L1_4,0.01,155,250,0.01,80,500
M10,C1_5_C1_4,0.01,75,300,0.01,110,500
M10,C1_5_L1_4,0.01,75,300,0.01,80,500
M10,L1_4_C1_5,0.01,80,500,0.01,75,300
M12,B1_4_B1_5,0.01,75,500,0.01,75,316
M12,B1_4_L1_4,0.01,75,500,0.01,75,500
M12,C1_4_C1_5,0.01,75,500,0.01,75,315
M12,C1_4_L1_4,0.01,75,500,0.01,75,500
M12,B1_5_B1_4,0.01,75,316,0.01,75,500
M12,B1_5_L1_4,0.01,75,316,0.01,75,500
M12,C1_5_C1_4,0.01,75,315,0.01,75,500
M12,C1_5_L1_4,0.01,75,315,0.01,75,500
M12,L1_4_C1_5,0.01,75,500,0.01,75,315
M15,B1_4_B1_5,0.01,150,500,0.01,125,300
M15,B1_4_L1_4,0.01,150,500,0.01,75,500
M15,C1_4_C1_5,0.01,120,500,0.01,75,500
M15,C1_4_L1_4,0.01,120,500,0.01,75,500
M15,B1_5_B1_4,0.01,125,300,0.01,150,500
M15,B1_5_L1_4,0.01,125,300,0.01,75,500
M15,C1_5_C1_4,0.01,75,500,0.01,120,500
M15,C1_5_L1_4,0.01,75,500,0.01,75,500
M15,L1_4_C1_5,0.01,75,500,0.01,75,500
